mukey,pm_dom,comppct_dom,n_pm
73391,residuum and colluvium from basalt or andesite with a component of volcanic ash,100,1
73449,glacial outwash,40,2
73460,till,100,1
73463,glacial outwash,100,1
73520,"residuum and colluvium, both derived from sandstone, siltstone, and conglomerate rock",100,1
73601,glaciolacustrine deposits,65,1
73607,colluvium and residuum derived from marine basalt,100,1
73611,glaciofluvial deposits,100,1
73743,residuum weathered from sandstone and shale,100,1
73811,residuum weathered from sandstone and shale,100,1
73894,volcanic ash mixed with loess over sandy and gravelly glacial outwash,85,4
73912,volcanic ash and pumice over volcanic mudflow deposits,85,1
73941,volcanic ash and pumice over colluvium derived from igneous rock and residuum weathered from igneous rock,100,1
73944,volcanic ash and pumice over colluvium derived from igneous rock and residuum weathered from igneous rock,50,1
73952,volcanic ash and pumice over colluvium derived from tuff breccia,100,2
73996,volcanic ash over colluvium and residuum derived from tuff breccia,100,1
74001,volcanic ash and pumice over colluvium derived from andesite,100,1
74006,volcanic ash and pumice over colluvium derived from tuff breccia,100,1
74028,volcanic ash and pumice over residuum and colluvium derived from andesite and basalt,30,1
74029,volcanic ash and pumice over colluvium derived from igneous rock and residuum weathered from igneous rock,40,1
74031,volcanic ash and pumice over colluvium derived from granite and/or from metamorphic rock,25,1
74122,volcanic ash and pumice mixed with colluvium and residuum derived from granite and metamorphic rock,100,1
74129,pumice derived from dacite and volcanic ash over colluvium and residuum derived from andesite,100,1
74131,pumice derived from dacite and volcanic ash over colluvium and residuum derived from sandstone,100,1
74144,volcanic ash and pumice mixed with colluvium and residuum derived from granite and metamorphic rock,45,1
74148,volcanic ash and pumice over colluvium derived from igneous rock and residuum weathered from igneous rock,100,1
74149,volcanic ash and pumice over colluvium derived from tuff breccia and residuum weathered from tuff breccia,100,1
74150,volcanic ash and pumice over colluvium derived from tuff breccia and residuum weathered from tuff breccia,100,1
74227,basal till,100,1
74228,basal till,90,1
74231,basal till,65,2
74313,andesite and breccia colluvium mixed with volcanic ash,60,2
74318,glacial drift,90,1
74378,colluvium and residuum derived from igneous rock and volcanic ash,60,1
74424,pumice and volcanic ash over colluvium from andesite and glacial till,100,1
74723,mudflow deposits,85,3
